"Rank","NCT Number","Title","Acronym","Status","Study Results","Conditions","Interventions","Outcome Measures","Sponsor/Collaborators","Gender","Age","Phases","Enrollment","Funded Bys","Study Type","Study Designs","Other IDs","Start Date","Primary Completion Date","Completion Date","First Posted","Results First Posted","Last Update Posted","Locations","Study Documents","URL"
1274,"NCT03219008","Multi-Dimensional Diagnosis,Individualized Therapy,and Management Technique for Major Depressive Disorder:Based on Clinical and Pathological Characteristics","STEP-MDD","Unknown status","No Results Available","Depressive Disorder","Drug: Fluoxetine|Combination Product: fluoxetine + cognitive-behavioral treatment（CBT）|Drug: fluoxetine + Amfebutamone|Combination Product: physical treatment+fluoxetine+amfebutamone|Drug: Fluvoxamine|Drug: Lithium+fluvoxamine|Combination Product: fluvoxamine + lithium + physical therapy|Combination Product: Cognitive behavior treatment +fluvoxamine|Drug: Mirtazapine/SNRIs|Combination Product: mirtazapine+ Cognitive behavior treatment|Drug: mirtazapine + SNRIs|Combination Product: mirtazapine + SNRIs + physical therapy|Other: TAU(treat as usual)","Change from baseline in levels of microRNA，apolipoproteins, meta ion (Composite measure)|Hamilton Depression Scale(HADA) scores,reductive ratio|Patient health questionnaire(PHQ-9):the clinical remission ratio|life event scale(LES)|social support scale(SSS)|dysfunctional attitudes scales(DAS)|the gray matter volume,|fractional amplitudes of low-frequency fluctuation(fLAFF)|Neuroelectrophysiological examination: electroencephalogram(EEG)|Neuroelectrophysiological examination:electrocardiograph(ECG)","Shanghai Mental Health Center|Shanghai Jiao Tong University School of Medicine|Chinese Academy of Sciences|Shanxi Medical University|Central South University|Second Military Medical University|Peking University Sixth Hospital|First Affiliated Hospital Xi'an Jiaotong University|The First Affiliated Hospital of Kunming Medical College|Air Force Military Medical University, China|Zhejiang University|Wuhan Mental Health Centre|Corning Hospital, Shenzhen City|the First Specialized Subject Hospital of Harbin|Renmin Hospital of Wuhan University|Seventh People's Hospital of Hangzhou|Shandong Mental Health Center","All","18 Years to 65 Years   (Adult, Older Adult)","Phase 4","800","Other","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Double (Participant, Outcomes Assessor)|Primary Purpose: Treatment","2016YFC1307100","August 1, 2017","December 2019","December 2020","July 17, 2017",,"October 10, 2017","ShanghaiMHC, Shanghai, China",,"https://ClinicalTrials.gov/show/NCT03219008"
1275,"NCT01625546","Whole Body Hyperthermia and Major Depression (MDD)",,"Completed","No Results Available","Depressive Disorder, Major","Device: Whole Body Hyperthermia system","17-item Hamilton Rating Scale for Depression (HAM-D; derived from the 31-item instrument)|Change in QIDS (Quick Inventory of Depressive Symptoms) Score from baseline response|Core body temperature monitoring|Skin conductance level|Heart Rate Variability|EAR Assessment|Sleep assessment|Plasma Concentrations of Biological Predictors of Response and Mechanism of Action for WBH.|QIDS = Quick Inventory of Depressive Symptoms","University of Arizona|Dr. med. h.c. Erwin Braun Foundation|The Depressive and Bipolar Disorder Alternative Treatment Foundation|Brain & Behavior Research Foundation","All","18 Years to 65 Years   (Adult, Older Adult)","Not Applicable","34","Other","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Single (Participant)|Primary Purpose: Treatment","12-0147-01","July 2012","May 2015","May 2015","June 21, 2012",,"August 10, 2015","University of Arizona, Tucson, Arizona, United States",,"https://ClinicalTrials.gov/show/NCT01625546"
1276,"NCT02222012","Neuromarkers Identification in Major Depressive Disorder Based on Monitoring Measures",,"Unknown status","No Results Available","Depression","Device: single channel ""Multiway Coil®""|Device: Two channels ""Multiway stimulator coil®"" (Brainsway Ltd.)","Clinical antidepressant response as defined by decline of HDRS-21 score over time|Symptomatic improvement|Clinical antidepressant remission as defined by decline of HDRS-21 score over time","Shalvata Mental Health Center|Beer Yaakov Mental Health Center","All","18 Years to 65 Years   (Adult, Older Adult)","Not Applicable","20","Other","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Diagnostic","sha-04-14","August 2014","September 2014","September 2017","August 21, 2014",,"August 21, 2014","Shalvata Mental Health Center, Hod-HaSharon, Israel",,"https://ClinicalTrials.gov/show/NCT02222012"
1277,"NCT01473615","Mindfulness Based Cognitive Therapy for Chronic Pain and Comorbid Unipolar Depression",,"Unknown status","No Results Available","Major Depressive Disorder|Dysthymic Disorder|Depressive Disorder NOS|Chronic Pain","Behavioral: Mindfulness Based Cognitive Therapy","Change from Baseline on the combined Quick Inventory of Depressive Symptomatology-clinician rated and the Hamilton Rating Scale for Depression (QIDS-C16/HRDS17), at week 8.|Response according to the Beck Anxiety Inventory, 21 items (BAI).|Response according to Short Form Health Survey, 36 items (SF-36).|Response according to Brief Pain Inventory (BPI-sf).","Massachusetts General Hospital","All","18 Years and older   (Adult, Older Adult)","Not Applicable","60","Other","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Single (Outcomes Assessor)|Primary Purpose: Treatment","2011P001699","November 2011","June 2013","June 2014","November 17, 2011",,"May 7, 2013","MGH Depression Clinical and Research Program, Boston, Massachusetts, United States",,"https://ClinicalTrials.gov/show/NCT01473615"
1278,"NCT01467804","Randomized Double Blinding Controlled Study on"" Jia Wei Xiao Yao Jiaonang"" Treating Mild to Moderate Major Depressive Disorder",,"Unknown status","No Results Available","Depressive Disorder","Drug: Sertraline plus placebo of JWXYJN|Drug: JWXYJN plus placebo of Sertraline","HAMD scale","Su Rui|China Academy of Chinese Medical Sciences","All","18 Years to 65 Years   (Adult, Older Adult)","Not Applicable","180","Other","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Quadruple (Participant, Care Provider, Investigator, Outcomes Assessor)|Primary Purpose: Treatment","y00741015-zjx","November 2011","November 2012","December 2012","November 9, 2011",,"November 10, 2011","China Academy of Chinese Medicine Science, Beijing, Beijing, China",,"https://ClinicalTrials.gov/show/NCT01467804"
1279,"NCT04076644","Maintenance Transcranial Magnetic Stimulation in Major Depressive Disorder",,"Recruiting","No Results Available","MDD","Device: TMS treatment","Depression Severity changes scored from Patient Health Questionnaire (PHQ9)|Depression Severity changes scored from Quick Inventory of Depression Symptom Questionnaire (QIDS)","University of Missouri-Columbia","All","18 Years and older   (Adult, Older Adult)","Not Applicable","100","Other","Interventional","Allocation: Non-Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Treatment","2013884","September 1, 2019","September 2021","September 2021","September 3, 2019",,"March 10, 2021","University of Missouri Neuromodulation Center, Columbia, Missouri, United States",,"https://ClinicalTrials.gov/show/NCT04076644"
1280,"NCT00993876","Cognitive Flexibility in Major Depression in the Course of Pharmacological and Psychotherapeutic Treatment","Decoflex","Completed","No Results Available","Cognitive Performance in Major Depression","Drug: citalopram|Drug: reboxetine|Behavioral: interpersonal psychotherapy","cognitive performance with respect to cognitive flexibility, memory and attention|CREB-phosphorylation in T-Lymphocytes","Zentrum für Integrative Psychiatrie|German Research Foundation","All","20 Years to 45 Years   (Adult)","Not Applicable","45","Other","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Basic Science","KO 2067","August 2005","August 2008","August 2008","October 14, 2009",,"October 14, 2009","Zentrum für Integrative Psychiatrie, Kiel, Germany",,"https://ClinicalTrials.gov/show/NCT00993876"
1281,"NCT00976560","Clinical Study to Test a New Drug to Treat Major Depression","PKI113009","Completed","Has Results","Depressive Disorder, Major","Drug: GW856553|Other: Placebo","Change From Randomization (Week 0) Associated With GW856553 Versus Placebo at Week 6 in the Bech (6-item HAMD-17 [Hamilton Depression Rating Scale]) Score.|Number of Participants With Adverse Events|Number of Participants With Suicidality as Assessed by the Columbia Suicidality Severity Rating Scale Score|Number of Participants With Abnormal Haematology and Clinical Chemistry Values|Number of Participants With Abnormal Vital Signs (Blood Pressure, Heart Rate)|Number of Participants With Abnormal Electrocardiogram (ECG) Findings|Changes From Randomization (Week 0)in IL-6 and TNF-alpha Associated With GW856553 Versus Placebo at Week 1 and Week 6 in the Morning Plasma Levels|Change From Randomisation Bech Total Score: Bech Score|Mean HAMD-17 Total Score|Mean Inventory of Depressive Symptomatology Clinician (IDS-C) Total Score|Mean IDS-SR Total Score|Mean Quick Inventory of Depressive Symptomatology Self Report-16 Item (QIDS-SR16) Total Score Derived From the IDS-SR (Only at Weeks 0, 2, 4 and 6)|Percentage of IDS-C Responders (Participants With a Reduction in Total Score of ≥50% From Randomization at Week 6/Study Exit).|Percentage of IDS-C Remitters (Participants Whose Total Score Was ≤ 15 at Week 6/Study Exit).|Percentage of IDS-SR Responders (Participants With a Reduction in Total Score of ≥ 50% From Randomization at Week 6/Study Exit).|Percentage of IDS-SR Remitters (Participants Whose Total Score Was ≤ 15 at Week 6/Study Exit).|Percentage of QIDS-SR16 Responders (Participants With a Reduction in Total Score of ≥ 50% From Randomization at Week 6/Study Exit).|Percentage of QIDS-SR16 Remitters (Subjects Whose Total Score Was ≤ 5 at Week 6/Study Exit).|Percentage of Bech Responders (Participants With a Reduction in Total Score of ≥ 50% From Randomization at Week 6/Study Exit).|Percentage of Bech Remitters (Participants Whose Total Score Was ≤ 4 at Week 6/Study Exit).|Percentage of Participants With a Clinicians Global Impression of Improvement (CGI-I) Score of 1 (""Very Much Improved"") or 2 (""Much Improved"") at Weeks 1, 2, 3, 4, 5 and 6.|Assessment of Clinical Global Impression-Severity of Illness (CGI-S) up to 6 Weeks","GlaxoSmithKline","All","18 Years to 60 Years   (Adult)","Phase 2","128","Industry","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Quadruple (Participant, Care Provider, Investigator, Outcomes Assessor)|Primary Purpose: Treatment","113009","September 25, 2009","July 7, 2010","July 7, 2010","September 14, 2009","November 14, 2017","November 14, 2017","GSK Investigational Site, Hoffman Estates, Illinois, United States|GSK Investigational Site, Park Ridge, Illinois, United States|GSK Investigational Site, New York, New York, United States|GSK Investigational Site, Columbus, Ohio, United States|GSK Investigational Site, Pazardzhik, Bulgaria|GSK Investigational Site, Plovdiv, Bulgaria|GSK Investigational Site, Ruse, Bulgaria|GSK Investigational Site, Sofia, Bulgaria|GSK Investigational Site, Tartu, Estonia|GSK Investigational Site, Huettenberg, Hessen, Germany|GSK Investigational Site, Schwerin, Mecklenburg-Vorpommern, Germany|GSK Investigational Site, Achim, Niedersachsen, Germany|GSK Investigational Site, Westerstede, Niedersachsen, Germany|GSK Investigational Site, Bielefeld, Nordrhein-Westfalen, Germany|GSK Investigational Site, Dresden, Sachsen, Germany|GSK Investigational Site, Berlin, Germany|GSK Investigational Site, Moscow, Russian Federation|GSK Investigational Site, Moscow, Russian Federation|GSK Investigational Site, Samara, Russian Federation|GSK Investigational Site, Smolensk, Russian Federation|GSK Investigational Site, St-Petersburg, Russian Federation",,"https://ClinicalTrials.gov/show/NCT00976560"
1282,"NCT00167154","Risperidone and Suicidality in Major Depressive Disorder",,"Completed","No Results Available","Depression","Drug: Risperidone and placebo comparator","CGI|MADRS","University of Alabama at Birmingham|Janssen Pharmaceuticals","All","19 Years to 60 Years   (Adult)","Phase 3","30","Other|Industry","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Quadruple (Participant, Care Provider, Investigator, Outcomes Assessor)|Primary Purpose: Treatment","F030929002|RIS-DED-402","June 2004","April 2007","August 2008","September 14, 2005",,"June 10, 2021","University of Alabama at Birmingham, Birmingham, Alabama, United States",,"https://ClinicalTrials.gov/show/NCT00167154"
1283,"NCT00866294","Controlled-release Paroxetine in Major Depressive Disorder (Double-blind, Placebo-controlled Study)",,"Completed","Has Results","Depressive Disorder","Drug: paroxetine IR 10mg tablet|Drug: paroxetine IR 20mg tablet|Drug: matched placebo to paroxetine IR 10mg or 20mg|Drug: Paroxetine CR 12.5mg tablet|Drug: Paroxetine CR 25mg tablet|Drug: matched placebo to paroxetine CR 12.5mg or 25mg","Adjusted Mean Change From Baseline in the Hamilton Depression Rating Scale (HAM-D; 17 Items) Total Score at Week 8|Mean Change From Baseline in the HAM-D Total Score at Weeks 1, 2, 3, 4, 6, and 8|Percentage of HAM-D Responders at Weeks 4 and 8|Percentage of HAM-D Remitters at Weeks 4 and 8|Mean Change From Baseline in the Clinical Global Impression-Severity of Illness (CGI-SI) Scores at Weeks 1, 2, 3, 4, 6, and 8|Percentage of Responders Based on the Clinical Global Impression-Global Improvement (CGI-GI) Scores at Weeks 4 and 8","GlaxoSmithKline","All","20 Years and older   (Adult, Older Adult)","Phase 3","416","Industry","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Quadruple (Participant, Care Provider, Investigator, Outcomes Assessor)|Primary Purpose: Treatment","112810","April 2009","February 2010","February 2010","March 20, 2009","November 15, 2010","January 30, 2017","GSK Investigational Site, Aichi, Japan|GSK Investigational Site, Aichi, Japan|GSK Investigational Site, Aichi, Japan|GSK Investigational Site, Chiba, Japan|GSK Investigational Site, Fukuoka, Japan|GSK Investigational Site, Fukuoka, Japan|GSK Investigational Site, Fukuoka, Japan|GSK Investigational Site, Fukuoka, Japan|GSK Investigational Site, Fukuoka, Japan|GSK Investigational Site, Fukuoka, Japan|GSK Investigational Site, Fukuoka, Japan|GSK Investigational Site, Gunma, Japan|GSK Investigational Site, Hokkaido, Japan|GSK Investigational Site, Hokkaido, Japan|GSK Investigational Site, Hokkaido, Japan|GSK Investigational Site, Hyogo, Japan|GSK Investigational Site, Hyogo, Japan|GSK Investigational Site, Hyogo, Japan|GSK Investigational Site, Ibaraki, Japan|GSK Investigational Site, Kanagawa, Japan|GSK Investigational Site, Kanagawa, Japan|GSK Investigational Site, Kanagawa, Japan|GSK Investigational Site, Kanagawa, Japan|GSK Investigational Site, Kanagawa, Japan|GSK Investigational Site, Kanagawa, Japan|GSK Investigational Site, Kanagawa, Japan|GSK Investigational Site, Kumamoto, Japan|GSK Investigational Site, Kyoto, Japan|GSK Investigational Site, Nagano, Japan|GSK Investigational Site, Nagano, Japan|GSK Investigational Site, Osaka, Japan|GSK Investigational Site, Osaka, Japan|GSK Investigational Site, Osaka, Japan|GSK Investigational Site, Osaka, Japan|GSK Investigational Site, Saga, Japan|GSK Investigational Site, Saga, Japan|GSK Investigational Site, Saitama, Japan|GSK Investigational Site, Saitama, Japan|GSK Investigational Site, Saitama, Japan|GSK Investigational Site, Saitama, Japan|GSK Investigational Site, Tochigi, Japan|GSK Investigational Site, Tokyo, Japan|GSK Investigational Site, Tokyo, Japan|GSK Investigational Site, Tokyo, Japan|GSK Investigational Site, Tokyo, Japan|GSK Investigational Site, Tokyo, Japan|GSK Investigational Site, Tokyo, Japan|GSK Investigational Site, Tokyo, Japan|GSK Investigational Site, Tokyo, Japan|GSK Investigational Site, Tokyo, Japan|GSK Investigational Site, Tokyo, Japan|GSK Investigational Site, Tokyo, Japan|GSK Investigational Site, Tokyo, Japan|GSK Investigational Site, Tokyo, Japan|GSK Investigational Site, Tokyo, Japan|GSK Investigational Site, Tokyo, Japan|GSK Investigational Site, Tokyo, Japan|GSK Investigational Site, Tottori, Japan|GSK Investigational Site, Gwangju, Korea, Republic of|GSK Investigational Site, Seoul, Korea, Republic of|GSK Investigational Site, Seoul, Korea, Republic of|GSK Investigational Site, Seoul, Korea, Republic of|GSK Investigational Site, Seoul, Korea, Republic of|GSK Investigational Site, Seoul, Korea, Republic of|GSK Investigational Site, Seoul, Korea, Republic of|GSK Investigational Site, Seoul, Korea, Republic of|GSK Investigational Site, Seoul, Korea, Republic of",,"https://ClinicalTrials.gov/show/NCT00866294"
